company_id,hubspot_deal_id,employee_sent_invitations_count,employee_first_invitation_sent_in_days,employee_accepted_invitations_count,employee_first_invitation_accepted_in_days,boss_sent_invitations_count,boss_first_invitation_sent_in_days,boss_accepted_invitations_count,boss_first_invitation_accepted_in_days,active_employees_count,work_schedules_count,adjustments_count,adjustment_suggestions_count,active_geofences_count,hour_parametrizations_count,reports_count,imported_afd_reports_count,vacation_requests_count,vacations_count,timetrackings_count,imported_timetrackings_count,days_to_decision,won
34440,9152184760,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,17,0
34441,9152442244,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
34442,9152812710,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34443,9152778246,1,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,15,0
34444,9152607258,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,21,0
34448,9152623719,3,0,3,0,0,-1,0,-1,3,3,11,0,1,0,0,0,0,0,62,0,20,1
34449,9153399979,3,4,3,4,0,-1,0,-1,2,3,0,0,1,0,0,0,0,0,117,0,19,1
34450,9153389897,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34451,9153214133,8,0,8,0,0,-1,0,-1,3,8,12,0,1,0,2,0,0,0,271,0,18,1
34452,9153510559,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,4,0,14,0
34453,9154150585,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34454,9153550249,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
34455,9154458166,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
34456,9154407586,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34457,9154442824,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34458,9154042185,0,-1,0,-1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,17,0
34459,9154056112,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15,0
34460,9153950751,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,21,0
34461,9154884207,0,-1,0,-1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,14,0
34462,9155233445,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
34464,9155988591,5,3,5,3,0,-1,0,-1,4,2,14,0,1,0,0,0,0,0,216,0,20,1
34465,9155112973,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34466,9155105183,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,17,0
34468,9155893028,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34469,9155932563,2,0,2,0,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,11,0,20,0
34470,9156007734,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
34472,9156101722,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
34474,9155540107,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,7,0
34476,9157173602,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
34477,9157286053,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
34479,9158768750,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
34480,9160255860,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34482,9160552016,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34483,9160711564,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,16,0
34484,9160870163,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
34485,9161363248,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,2,0,0,0,1,0,16,0
34486,9161505114,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,20,0
34487,9161694884,1,0,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,16,0
34488,9161653066,2,2,2,2,0,-1,0,-1,1,4,36,0,1,0,9,0,0,0,62,0,16,1
34491,9162767996,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34493,9162920801,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,33,0
34494,9163269494,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34495,9163969558,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,20,0
34496,9164235312,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15,0
34497,9166582412,1,0,1,0,0,-1,0,-1,1,1,0,0,0,0,0,0,0,0,16,0,3,1
34498,9166794588,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34500,9167602559,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,2,0,19,0
34501,9167725361,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34503,9168022958,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34505,9168259392,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34506,9168430210,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34507,9169031720,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34509,9169081612,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34510,9169368692,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34512,9169426713,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,18,0
34513,9169928980,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,14,0
34514,9169992513,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,11,0
34515,9172802650,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,15,0
34517,9173285738,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,18,0
34518,9172971588,0,-1,0,-1,0,-1,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,14,0
34519,9173413041,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,15,0
34520,9173537713,10,0,10,0,1,0,1,0,8,11,0,0,1,0,0,0,0,0,349,0,31,1
34521,9173465954,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,18,0
34523,9174184988,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
